[2020-07-08 18:56:06.541819] Generating Gabor Filters...
[2020-07-08 18:56:06.551142] Generating Gabor Filters Done!
[2020-07-08 18:56:06.551171] Loading MNIST Data...
[2020-07-08 18:56:07.803702] Loading MNIST Data Done!
[2020-07-08 18:56:08.019601] Convoluting Images...
[2020-07-08 18:56:34.211334] Convoluting Images Done!
[2020-07-08 18:56:34.211946] Image Blocks and Gabor Images Capturing...
[2020-07-08 19:00:40.983508] Image Blocks and Gabor Images Capturing Done!
[2020-07-08 19:00:47.747308] Epoch : 0001 loss = 50.909648590
[2020-07-08 19:00:51.964678] Epoch : 0002 loss = 0.096906073
[2020-07-08 19:00:56.192046] Epoch : 0003 loss = 0.093360897
[2020-07-08 19:01:00.422023] Epoch : 0004 loss = 0.091686678
[2020-07-08 19:01:04.692871] Epoch : 0005 loss = 0.100540969
[2020-07-08 19:01:08.888185] Epoch : 0006 loss = 0.127009178
[2020-07-08 19:01:13.115827] Epoch : 0007 loss = 0.122712946
[2020-07-08 19:01:17.402265] Epoch : 0008 loss = 0.107738955
[2020-07-08 19:01:21.708748] Epoch : 0009 loss = 0.098723394
[2020-07-08 19:01:25.943842] Epoch : 0010 loss = 0.090483935
[2020-07-08 19:01:30.170338] Epoch : 0011 loss = 0.082037619
[2020-07-08 19:01:34.420905] Epoch : 0012 loss = 0.074637567
[2020-07-08 19:01:38.624977] Epoch : 0013 loss = 0.070965159
[2020-07-08 19:01:42.820328] Epoch : 0014 loss = 0.076390524
[2020-07-08 19:01:47.218141] Epoch : 0015 loss = 2803.150651654
[2020-07-08 19:01:51.454083] Epoch : 0016 loss = 1902.501811705
[2020-07-08 19:01:55.792669] Epoch : 0017 loss = 0.223907105
[2020-07-08 19:02:00.053012] Epoch : 0018 loss = 0.126603435
[2020-07-08 19:02:04.239957] Epoch : 0019 loss = 0.114159025
[2020-07-08 19:02:08.437120] Epoch : 0020 loss = 0.112061818
[2020-07-08 19:02:12.581623] Epoch : 0021 loss = 0.111201244
[2020-07-08 19:02:16.752250] Epoch : 0022 loss = 0.110495674
[2020-07-08 19:02:20.945479] Epoch : 0023 loss = 0.109866238
[2020-07-08 19:02:25.122192] Epoch : 0024 loss = 0.109292261
[2020-07-08 19:02:29.336723] Epoch : 0025 loss = 0.114889593
[2020-07-08 19:02:33.480915] Epoch : 0026 loss = 0.221300628
[2020-07-08 19:02:37.665437] Epoch : 0027 loss = 0.365545727
[2020-07-08 19:02:41.816834] Epoch : 0028 loss = 0.297518812
[2020-07-08 19:02:45.962254] Epoch : 0029 loss = 0.205198152
[2020-07-08 19:02:50.129157] Epoch : 0030 loss = 0.146892492
[2020-07-08 19:02:54.282495] Epoch : 0031 loss = 0.115050054
[2020-07-08 19:02:58.482060] Epoch : 0032 loss = 0.099802957
[2020-07-08 19:03:02.586003] Epoch : 0033 loss = 0.087033691
[2020-07-08 19:03:06.704838] Epoch : 0034 loss = 0.078364991
[2020-07-08 19:03:10.846012] Epoch : 0035 loss = 0.073195994
[2020-07-08 19:03:15.106910] Epoch : 0036 loss = 0.071588398
[2020-07-08 19:03:19.311869] Epoch : 0037 loss = 0.075439903
[2020-07-08 19:03:23.409506] Epoch : 0038 loss = 0.104708089
[2020-07-08 19:03:27.548126] Epoch : 0039 loss = 4340.814043571
[2020-07-08 19:03:31.677337] Epoch : 0040 loss = 0.753021267
[2020-07-08 19:03:35.803882] Epoch : 0041 loss = 0.280992027
[2020-07-08 19:03:39.939791] Epoch : 0042 loss = 0.224152813
[2020-07-08 19:03:44.059969] Epoch : 0043 loss = 0.216387666
[2020-07-08 19:03:48.182731] Epoch : 0044 loss = 0.215362547
[2020-07-08 19:03:52.324808] Epoch : 0045 loss = 1.380003033
[2020-07-08 19:03:56.460327] Epoch : 0046 loss = 6.324905669
[2020-07-08 19:04:00.614039] Epoch : 0047 loss = 8.226731868
[2020-07-08 19:04:04.733546] Epoch : 0048 loss = 6.125110887
[2020-07-08 19:04:08.858002] Epoch : 0049 loss = 3.277191119
[2020-07-08 19:04:12.963665] Epoch : 0050 loss = 2.022896064
[2020-07-08 19:04:17.091929] Epoch : 0051 loss = 0.967865773
[2020-07-08 19:04:21.205584] Epoch : 0052 loss = 0.527546788
[2020-07-08 19:04:25.336453] Epoch : 0053 loss = 0.344036074
[2020-07-08 19:04:29.455151] Epoch : 0054 loss = 0.193490774
[2020-07-08 19:04:33.600271] Epoch : 0055 loss = 0.152710457
[2020-07-08 19:04:37.736005] Epoch : 0056 loss = 0.113227983
[2020-07-08 19:04:41.884557] Epoch : 0057 loss = 0.095671820
[2020-07-08 19:04:45.998364] Epoch : 0058 loss = 0.083720766
[2020-07-08 19:04:50.128188] Epoch : 0059 loss = 0.075501055
[2020-07-08 19:04:54.238530] Epoch : 0060 loss = 0.070635505
[2020-07-08 19:04:58.333238] Epoch : 0061 loss = 0.068037982
[2020-07-08 19:05:02.434390] Epoch : 0062 loss = 0.070065094
[2020-07-08 19:05:06.534748] Epoch : 0063 loss = 0.086210518
[2020-07-08 19:05:10.646718] Epoch : 0064 loss = 4735.700483067
[2020-07-08 19:05:14.759847] Epoch : 0065 loss = 0.974532062
[2020-07-08 19:05:18.886315] Epoch : 0066 loss = 0.313680861
[2020-07-08 19:05:23.021692] Epoch : 0067 loss = 0.221356084
[2020-07-08 19:05:27.189048] Epoch : 0068 loss = 0.204623558
[2020-07-08 19:05:31.365726] Epoch : 0069 loss = 0.202001235
[2020-07-08 19:05:35.516678] Epoch : 0070 loss = 0.201606582
